Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
2-Jan-12,320.25,324,315.1,320.55,321.3291052,50534,1281,16238045,12319,24.38,8.9,0.3,
3-Jan-12,321.5,328.25,321.5,327.1,325.5362093,129649,1908,42205444,78161,60.29,6.75,5.6,
4-Jan-12,327.9,331.75,325.4,329.85,329.9400496,139999,2576,46191277,72631,51.88,6.35,1.95,
5-Jan-12,332,338.3,331.35,334.95,335.384022,140919,2249,47261981,77818,55.22,6.95,2.95,
6-Jan-12,336.75,338.8,332.35,337.7,336.2134379,72288,1685,24304197,21365,29.56,6.45,0.95,
7-Jan-12,338.3,339,335.2,335.8,337.0576573,9886,348,3332152,2922,29.56,3.8,-2.5,
9-Jan-12,334.5,345.45,332.6,344.2,340.603868,460657,3519,156901556,358225,77.76,12.85,9.7,
10-Jan-12,344.2,349.2,343.35,345.3,346.0130054,165931,2238,57414284,59510,35.86,5.85,1.1,
11-Jan-12,348.75,348.75,339.1,340,340.6414319,190042,2282,64736179,120619,63.47,9.65,-8.75,
12-Jan-12,338.2,344.85,338,339.3,341.5712688,158281,2439,54064242,94128,59.47,6.85,1.1,
13-Jan-12,340,342,335.1,337.7,338.6847046,71793,1637,24315191,31616,44.04,6.9,-2.3,
16-Jan-12,337.5,337.5,331.65,332.8,333.5048131,35320,1105,11779390,11936,33.79,5.85,-4.7,
17-Jan-12,331,340.3,331,337.95,337.980368,195039,2140,65919353,105288,53.98,9.3,6.95,
18-Jan-12,338,342.65,331,332.55,336.6916391,144386,2409,48613559,71555,49.56,11.65,-5.45,
19-Jan-12,336.65,336.65,328.2,331.8,331.6446894,145954,2458,48404869,53431,36.61,8.45,-4.85,
20-Jan-12,332.5,339.5,331.65,335.35,334.1776891,305815,4094,102196550,225062,73.59,7.85,2.85,
23-Jan-12,338.2,343.5,338,340.55,341.1399028,128432,2100,43813280,75430,58.73,5.5,2.35,
24-Jan-12,343.4,345.9,339.9,344.4,344.07887,125244,2107,43093814,50071,39.98,6,1,
25-Jan-12,345,345.3,340.55,341.55,342.122311,84604,1059,28944916,48717,57.58,4.75,-3.45,
27-Jan-12,343,348.1,341.2,344.75,345.9434537,217167,2605,75127502,136743,62.97,6.9,1.75,
30-Jan-12,344,347.75,339.2,342.7,344.5550288,84156,1768,28996373,45479,54.04,8.55,-1.3,
31-Jan-12,344.35,351.9,340.05,349.15,345.7883868,70024,1598,24213486,35127,50.16,11.85,4.8,
1-Feb-12,351,353.95,347,348.5,350.372857,186656,2535,65399196,83048,44.49,6.95,-2.5,
2-Feb-12,350.1,350.1,338,339.7,342.6905859,70501,1879,24160029,31230,44.3,12.1,-10.4,
3-Feb-12,342,347.4,340.75,344.85,344.9229563,47181,1122,16273810,19285,40.87,6.65,2.85,
6-Feb-12,346,355,346,352.4,351.9540682,205609,1730,72364924,141805,68.97,9,6.4,
7-Feb-12,357,359,351.1,353.65,354.6094703,236571,3560,83890317,170982,72.28,7.9,-3.35,
8-Feb-12,353.5,356,348.05,351.45,352.4541937,41097,1152,14484810,20659,50.27,7.95,-2.05,
9-Feb-12,352,356.25,351,351.75,353.0706204,35797,1055,12638869,11566,32.31,5.25,-0.25,
10-Feb-12,353.1,353.7,346.2,349,349.5702253,42029,1056,14692087,10979,26.12,7.5,-4.1,
13-Feb-12,353,353.6,340,342.45,343.5322237,185655,3988,63778475,80544,43.38,13.6,-10.55,
14-Feb-12,337.3,337.3,320,320.95,325.242665,504803,9173,164183473,260305,51.57,17.3,-16.35,
15-Feb-12,324.85,326.85,317.55,318.55,322.3436697,286109,5275,92225425,129241,45.17,9.3,-6.3,
16-Feb-12,320.5,328.35,317,325.45,324.7543749,258919,4319,84085078,106946,41.3,11.35,4.95,
17-Feb-12,328.9,328.9,319.35,321.55,322.9894149,169956,4661,54893989,63239,37.21,9.55,-7.35,
21-Feb-12,322.1,325.85,320.9,322.1,322.9922052,84928,1820,27431082,33741,39.73,4.95,0,
22-Feb-12,321,324.3,317,318.5,319.8573896,96115,2315,30743093,39634,41.24,7.3,-2.5,
23-Feb-12,317,323,313.35,316.1,317.2055643,145930,3727,46289808,44294,30.35,9.65,-0.9,
24-Feb-12,318,319.35,313.1,313.9,315.176226,80340,2062,25321258,42475,52.87,6.25,-4.1,
27-Feb-12,317.95,319.9,311,313.75,316.7116075,148180,2950,46930326,49456,33.38,8.9,-4.2,
28-Feb-12,316.8,322,314.25,319,318.8280758,113614,2635,36223333,26141,23.01,7.75,2.2,
29-Feb-12,320,326,316,316.8,321.6235447,201328,4226,64751825,59057,29.33,10,-3.2,
1-Mar-12,318,320,314,315.45,316.9028956,85681,2434,27152557,18116,21.14,6,-2.55,
2-Mar-12,319,319,314.25,315.6,315.864975,81970,2064,25891452,27883,34.02,4.75,-3.4,
3-Mar-12,314.95,314.95,310.1,312.45,312.424092,21559,523,6735551,8851,41.05,4.85,-2.5,
5-Mar-12,313.55,314.8,310,312.85,312.9081476,75458,2061,23611423,21226,28.13,4.8,-0.7,
6-Mar-12,314,314,305.3,306.25,308.5531769,104820,2751,32342544,50089,47.79,8.7,-7.75,
7-Mar-12,306.95,310,304.1,308.35,307.0527508,86975,2077,26705913,32970,37.91,5.9,1.4,
9-Mar-12,310.1,311.9,307,308.15,308.9884946,56843,1731,17563833,19892,34.99,4.9,-1.95,
12-Mar-12,308.2,308.2,300.65,302.5,302.2520164,156716,3580,47367727,73167,46.69,7.55,-5.7,
13-Mar-12,305,308.9,303,307.4,305.6447733,116641,2554,35650712,56421,48.37,5.9,2.4,
14-Mar-12,309.9,312.9,309,309.7,310.8924971,96416,2473,29975011,39881,41.36,3.9,-0.2,
15-Mar-12,310,311,306.2,307.7,308.4156539,43938,1224,13551167,18469,42.03,4.8,-2.3,
16-Mar-12,309,312.4,301.2,302.3,306.62216,42870,1765,13144892,14267,33.28,11.2,-6.7,
19-Mar-12,303,305,300,300.6,301.8722639,67021,1703,20231781,26013,38.81,5,-2.4,
20-Mar-12,302.3,306,301.05,304.5,304.0237061,89091,1871,27085776,42097,47.25,4.95,2.2,
21-Mar-12,306.8,308,303,306.05,305.5190605,94095,1762,28747816,48064,51.08,5,-0.75,
