Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
2-Jan-12,215.9,215.9,209.675,213.6,423.4236372,202494,5225,85740746,96677,47.74,12.45,-4.6,
3-Jan-12,215.5,220.5,215.5,219.575,435.9673199,177172,4188,77241202,68038,38.4,10,8.15,
4-Jan-12,220.05,222.425,215.75,221.625,439.099945,220071,5640,96633164,71841,32.64,13.35,3.15,
5-Jan-12,222.05,223.35,219.625,221.275,443.8245568,151331,3276,67164414,45433,30.02,7.45,-1.55,
6-Jan-12,220,228.4,219.325,226.25,446.9144545,174153,4083,77831493,67818,38.94,18.15,12.5,
7-Jan-12,228,230,225,225.55,452.1644385,17204,423,7779037,3416,19.86,10,-4.9,
9-Jan-12,225.5,228.325,223.1,227.45,452.3933126,70880,2505,32065638,18020,25.42,10.45,3.9,
10-Jan-12,230,231,227.95,229.725,459.2072601,163606,2985,75129063,93987,57.45,6.1,-0.55,
11-Jan-12,231,231.75,227.575,231.125,459.7596013,127717,3140,58719117,26393,20.67,8.35,0.25,
12-Jan-12,232,234.5,230.825,233.3,465.5049222,126772,3768,59012990,34216,26.99,7.35,2.6,
13-Jan-12,234.55,237.5,230.625,234.65,466.709964,137314,3327,64085812,27891,20.31,13.75,0.2,
16-Jan-12,233.75,233.975,229,230.575,461.4699499,220332,3823,101676597,108108,49.07,9.95,-6.35,
17-Jan-12,231.8,234.5,231.8,233.625,467.1628162,76571,2308,35771124,31823,41.56,5.4,3.65,
18-Jan-12,233.75,242,233.75,240.15,477.0513684,167749,3937,80024890,62123,37.03,16.5,12.8,
19-Jan-12,242.5,245,240.3,242.5,485.7336532,305290,8619,148289627,59404,19.46,9.4,0,
20-Jan-12,244.75,245.9,235,244.35,486.1959931,168358,3946,81854985,45660,27.12,21.8,-0.8,
23-Jan-12,245,245,240.325,241.95,484.4640923,164728,3001,79804801,81479,49.46,9.35,-6.1,
24-Jan-12,243.5,246.5,240.05,244.25,489.0525109,250348,5676,122433318,82460,32.94,12.9,1.5,
25-Jan-12,244.5,246.3,241,245.05,489.0000384,182365,3413,89176492,83818,45.96,10.6,1.1,
27-Jan-12,250.5,250.525,240.25,241.8,487.339417,134074,3800,65339545,33308,24.84,20.55,-17.4,
30-Jan-12,240.65,241.425,236.75,239.525,477.4875979,67650,2379,32302036,16069,23.75,9.35,-2.25,
31-Jan-12,241,247.125,240.425,245.45,488.0291612,92966,2131,45370119,41778,44.94,13.4,8.9,
1-Feb-12,245.525,249.75,240.9,248.35,490.6007578,369207,4035,181133234,195239,52.88,17.7,5.65,
2-Feb-12,250,250,245.85,248.9,497.2975626,373629,5837,185804791,233865,62.59,8.3,-2.2,
3-Feb-12,247.45,254,247.45,253.175,501.5669512,280391,4761,140634859,180505,64.38,13.1,11.45,
6-Feb-12,254.5,257.925,250.25,253.35,507.4519121,195049,6743,98977988,68589,35.17,15.35,-2.3,
7-Feb-12,254.5,257.45,253.675,254.825,511.1993261,301235,4775,153991129,186581,61.94,7.55,0.65,
8-Feb-12,256,258.125,251.425,254,511.0886041,258848,4795,132294263,94097,36.35,13.4,-4,
9-Feb-12,254,262.75,252.875,261.075,517.0598919,402208,5883,207965625,260127,64.67,19.75,14.15,
10-Feb-12,261,262.85,256.925,258.1,517.7500048,314246,4813,162700868,161963,51.54,11.85,-5.8,
13-Feb-12,259.5,262.5,258,261,522.445195,380449,5051,198763752,268319,70.53,9,3,
14-Feb-12,261.65,261.65,257.6,258.85,518.6687476,93548,2575,48520424,25498,27.26,8.1,-5.6,
15-Feb-12,260.725,267.325,258.8,266.475,527.814822,375428,5766,198156463,199327,53.09,17.05,11.5,
16-Feb-12,265,268.75,261.675,263.1,528.4193618,143685,3544,75925936,56587,39.38,14.15,-3.8,
17-Feb-12,266,267.5,260.325,263.775,526.8903888,219868,5272,115846336,73948,33.63,14.35,-4.45,
21-Feb-12,263.05,266.2,260.325,265.55,527.4338179,428998,4564,226268053,296839,69.19,11.75,5,
22-Feb-12,265,269.425,263,265.875,533.0360133,292225,6780,155766449,147893,50.61,12.85,1.75,
23-Feb-12,264.35,267.5,263.175,265.9,531.6295321,97169,2800,51657910,26649,27.43,8.65,3.1,
