Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-Jan-12,348.95,354.75,343.775,353.475,699.0683951,1091525,32979,763050630,109480,10.03,21.95,9.05
3-Jan-12,356,362.95,355.3,361.85,719.1711031,828068,24590,595522577,141504,17.09,15.3,11.7
4-Jan-12,363.95,365.45,356.75,358,721.5432478,931181,25173,671887363,149930,16.1,17.4,-11.9
5-Jan-12,357.7,362.425,347.625,349.625,708.3528179,1277540,33718,904949059,310486,24.3,29.6,-16.15
6-Jan-12,349,361.8,348.25,358.45,710.9440501,1029939,30474,732229004,151899,14.75,27.1,18.9
7-Jan-12,357.55,359.575,356.775,357.35,716.0046384,96370,2946,69001367,15755,16.35,5.6,-0.4
9-Jan-12,356.4,356.95,351.775,353.475,708.0283111,596127,20099,422074793,65625,11.01,10.35,-5.85
10-Jan-12,356,369,356,367.575,727.4346197,917234,24761,667227766,247859,27.02,26,23.15
11-Jan-12,369.3,375.95,365.65,374.175,743.563349,830842,23319,617783660,217250,26.15,20.6,9.75
12-Jan-12,373,376.75,366.575,368.775,742.3546187,580649,18537,431047467,71540,12.32,20.35,-8.45
13-Jan-12,371.95,375.3,364.175,366.025,739.3978568,852646,22428,630444625,123005,14.43,22.25,-11.85
16-Jan-12,365,365,355.5,356.7,716.9460591,814874,21206,584220703,197187,24.2,19,-16.6
17-Jan-12,358.45,371.2,358.25,370.175,734.1400265,903829,23783,663537046,167531,18.54,25.9,23.45
18-Jan-12,381.075,393.4,379.35,388.45,773.379953,1600869,45473,1238079992,287753,17.97,28.1,14.75
19-Jan-12,394.5,397.8,391.175,392.575,788.7562179,898573,24768,708755041,219675,24.45,13.25,-3.85
20-Jan-12,395.3,399.5,386.3,396.675,785.3748709,977806,28514,767944261,166723,17.05,26.4,2.75
23-Jan-12,378.325,389.9,378,385.5,769.8023811,1094956,28911,842899736,190267,17.38,23.8,14.35
24-Jan-12,386.275,395.9,385.5,391.575,783.3339695,875577,22484,685869207,224212,25.61,20.8,10.6
25-Jan-12,394.95,397.4,391.5,395.05,789.7361748,514803,14468,406558552,94745,18.4,11.8,0.2
27-Jan-12,398.3,412.5,398.3,408.8,813.1540891,993406,29537,807792151,202773,20.41,28.4,21
30-Jan-12,407.85,409.4,396.6,397.725,805.0180572,625843,19685,503814916,102771,16.42,25.6,-20.25
31-Jan-12,401.6,409.2,401,407.725,811.6804974,738088,18874,599091635,214175,29.02,16.4,12.25
